Time,Pair,Action,Price,LotSize,StopLoss
2025-05-19 00:26:57,XAUGBPz,BUY,2437.278,0.01,None
2025-05-19 00:26:59,XAUGBPz,BUY,2437.278,0.01,None
2025-05-19 00:27:01,XAUGBPz,BUY,2437.278,0.01,None
2025-05-19 00:27:03,XAUGBPz,BUY,2437.386,0.01,None
2025-05-19 00:27:05,XAUGBPz,BUY,2437.386,0.01,None
2025-05-19 00:27:07,XAUGBPz,BUY,2437.741,0.01,None
2025-05-19 00:27:09,XAUGBPz,BUY,2437.741,0.01,None
2025-05-19 00:27:11,XAUGBPz,BUY,2437.741,0.01,None
2025-05-19 00:27:14,XAUGBPz,BUY,2437.627,0.01,None
2025-05-19 00:27:16,XAUGBPz,BUY,2437.627,0.01,None
2025-05-19 00:27:18,XAUGBPz,BUY,2437.642,0.01,None
2025-05-19 00:27:20,XAUGBPz,BUY,2437.642,0.01,None
2025-05-19 00:27:22,XAUGBPz,BUY,2437.642,0.01,None
2025-05-19 00:27:24,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:26,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:28,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:30,XAUGBPz,BUY,2437.352,0.01,None
2025-05-19 00:27:32,XAUGBPz,BUY,2437.352,0.01,None
2025-05-19 00:27:34,XAUGBPz,BUY,2437.145,0.01,None
2025-05-19 00:27:36,XAUGBPz,BUY,2437.145,0.01,None
2025-05-19 00:27:38,XAUGBPz,BUY,2437.145,0.01,None
2025-05-19 00:27:40,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:42,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:45,XAUGBPz,BUY,2437.412,0.01,None
2025-05-19 00:27:47,XAUGBPz,BUY,2437.305,0.01,None
2025-05-19 00:27:49,XAUGBPz,BUY,2437.305,0.01,None
2025-05-19 00:27:51,XAUGBPz,BUY,2437.447,0.01,None
2025-05-19 00:27:53,XAUGBPz,BUY,2437.447,0.01,None
2025-05-19 00:27:55,XAUGBPz,BUY,2437.447,0.01,None
2025-05-19 00:27:57,XAUGBPz,BUY,2437.387,0.01,None
2025-05-19 00:27:59,XAUGBPz,BUY,2437.387,0.01,None
2025-05-19 00:28:01,XAUGBPz,BUY,2437.387,0.01,None
2025-05-19 00:28:03,XAUGBPz,BUY,2437.27,0.01,None
2025-05-19 00:28:05,XAUGBPz,BUY,2437.27,0.01,None
2025-05-19 00:28:07,XAUGBPz,BUY,2437.27,0.01,None
2025-05-19 00:28:09,XAUGBPz,BUY,2437.352,0.01,None
2025-05-19 00:28:11,XAUGBPz,BUY,2437.352,0.01,None
2025-05-19 00:28:13,XAUGBPz,BUY,2437.356,0.01,None
2025-05-19 00:28:16,XAUGBPz,BUY,2437.356,0.01,None
2025-05-19 00:28:18,XAUGBPz,BUY,2437.356,0.01,None
2025-05-19 00:28:20,XAUGBPz,BUY,2437.282,0.01,None
2025-05-19 00:28:22,XAUGBPz,BUY,2437.282,0.01,None
2025-05-19 00:28:24,XAUGBPz,BUY,2437.246,0.01,None
2025-05-19 00:28:27,XAUGBPz,BUY,2437.246,0.01,None
2025-05-19 00:28:29,XAUGBPz,BUY,2437.246,0.01,None
2025-05-19 00:28:31,XAUGBPz,BUY,2437.718,0.01,None
2025-05-19 00:28:33,XAUGBPz,BUY,2437.718,0.01,None
2025-05-19 00:28:35,XAUGBPz,BUY,2437.718,0.01,None
2025-05-19 00:28:37,XAUGBPz,BUY,2437.901,0.01,None
2025-05-19 00:28:39,XAUGBPz,BUY,2437.901,0.01,None
2025-05-19 00:28:41,XAUGBPz,BUY,2437.587,0.01,None
2025-05-19 00:28:43,XAUGBPz,BUY,2437.587,0.01,None
2025-05-19 00:28:46,XAUGBPz,BUY,2437.494,0.01,None
2025-05-19 00:28:48,XAUGBPz,BUY,2437.494,0.01,None
2025-05-19 00:29:19,XAUGBPz,BUY,2437.135,0.01,None
2025-05-19 00:29:21,XAUGBPz,BUY,2437.135,0.01,None
2025-05-19 00:29:23,XAUGBPz,BUY,2437.135,0.01,None
2025-05-19 00:29:35,XAUGBPz,BUY,2437.322,0.01,None
2025-05-19 00:29:37,XAUGBPz,BUY,2437.322,0.01,None
2025-05-19 00:29:39,XAUGBPz,BUY,2437.322,0.01,None
2025-05-19 00:29:42,XAUGBPz,BUY,2437.313,0.01,None
2025-05-19 00:29:44,XAUGBPz,BUY,2437.313,0.01,None
2025-05-19 00:29:46,XAUGBPz,BUY,2437.411,0.01,None
2025-05-19 00:29:49,XAUGBPz,BUY,2437.411,0.01,None
2025-05-19 00:29:51,XAUGBPz,BUY,2437.411,0.01,None
2025-05-19 00:29:54,XAUGBPz,BUY,2437.304,0.01,None
2025-05-19 00:29:56,XAUGBPz,BUY,2437.304,0.01,None
2025-05-19 00:29:58,XAUGBPz,BUY,2437.314,0.01,None
2025-05-19 00:30:01,XAUGBPz,BUY,2437.314,0.01,None
